,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
0,Data,AUD,BGN,CAD,CHF,CZK,DKK,EGP,EUR,GBP,100 HUF,100 JPY,MDL,NOK,PLN,RUB,SEK,TRY,USD,ZAR,BRL,CNY,INR,100 KRW,MXN,NZD,RSD,UAH,AED,HRK,THB,XAU,XDR
1,12.12.2023,3.0343,2.5423,3.3915,5.2526,0.2035,0.6668,0.1489,4.9724,5.7879,1.299,3.1676,0.2591,0.4227,1.1456,0.0511,0.4409,0.1583,4.6011,0.2433,0.9316,0.6415,0.0552,0.3513,0.2652,2.8335,0.0425,0.1244,1.2529,,0.1291,294.0805,6.118
2,11.12.2023,3.0265,2.5415,3.3932,5.2443,0.2042,0.6667,0.1493,4.9708,5.7989,1.3042,3.1542,0.2599,0.422,1.1475,0.0507,0.4411,0.159,4.6131,0.2415,0.9363,0.6425,0.0553,0.3494,0.2651,2.8222,0.0424,0.1251,1.2562,,0.1293,295.6592,6.1247
3,08.12.2023,3.0452,2.5399,3.3929,5.2613,0.204,0.6663,0.1491,4.9677,5.7949,1.2995,3.1911,0.2601,0.4242,1.1456,0.0503,0.4421,0.1594,4.6059,0.2441,0.9377,0.6432,0.0552,0.3514,0.2649,2.8339,0.0424,0.1253,1.2543,,0.1303,300.4044,6.1246
4,07.12.2023,3.0289,2.54,3.3946,5.2769,0.204,0.6664,0.1493,4.9679,5.8029,1.305,3.1866,0.2595,0.4223,1.1465,0.0497,0.4407,0.1595,4.614,0.2449,0.9411,0.6452,0.0553,0.3498,0.266,2.8356,0.0424,0.1258,1.2565,,0.1311,301.7158,6.1317
5,06.12.2023,3.0248,2.5401,3.3895,5.2648,0.2043,0.6663,0.149,4.9681,5.8001,1.3052,3.1236,0.2586,0.4203,1.1456,0.0497,0.439,0.1592,4.6029,0.2427,0.9339,0.6432,0.0552,0.3499,0.2655,2.8299,0.0424,0.1255,1.2534,,0.1309,299.3672,6.1144
6,05.12.2023,3.0155,2.5397,3.3818,5.2499,0.2036,0.6662,0.1484,4.9672,5.7927,1.3075,3.1178,0.2568,0.4224,1.1495,0.0499,0.4392,0.1584,4.5844,0.2439,0.9271,0.6419,0.055,0.3487,0.2625,2.8194,0.0424,0.1249,1.2483,,0.1298,298.5041,6.1006
7,04.12.2023,3.0389,2.54,3.3741,5.2353,0.204,0.6663,0.1479,4.9678,5.7886,1.308,3.1189,0.2566,0.4256,1.1465,0.0503,0.4389,0.158,4.571,0.2443,0.9366,0.6404,0.0548,0.3505,0.2648,2.8302,0.0424,0.1251,1.2447,,0.1307,303.8212,6.0912
8,29.11.2023,3.0003,2.5424,3.3338,5.1634,0.2047,0.6669,0.1466,4.9726,5.7463,1.315,3.0662,0.2543,0.4252,1.1455,0.051,0.4374,0.1566,4.5313,0.2445,0.9302,0.6357,0.0544,0.3506,0.2641,2.7852,0.0424,0.1245,1.2339,,0.13,296.871,6.0543
9,28.11.2023,3.0036,2.5424,3.3433,5.1534,0.2044,0.6669,0.1468,4.9725,5.7376,1.3086,3.0556,0.2544,0.426,1.1431,0.0511,0.4353,0.1569,4.5419,0.2423,0.9275,0.6349,0.0545,0.3505,0.2648,2.766,0.0424,0.1249,1.2367,,0.13,294.1024,6.0576
10,27.11.2023,2.9956,2.5412,3.3251,5.1561,0.2039,0.6667,0.1466,4.9702,5.725,1.308,3.0446,0.2554,0.4243,1.1414,0.051,0.4355,0.1569,4.5369,0.2431,0.9252,0.6341,0.0544,0.3485,0.2658,2.764,0.0424,0.1251,1.2354,,0.1293,293.8593,6.0504
